activity_identifier,budget_type,budget_status,period_start,period_end,value,currency,value_date
US-EIN-521257057-US-EIN-521257057,1,2,2022-10-01,2023-09-30,5000000,USD,2022-10-01
US-EIN-521257057-US-EIN-521257057,1,2,2023-10-01,2024-09-30,5000000,USD,2023-10-01
US-EIN-521257057-US-EIN-521257057,1,2,2024-10-01,2025-09-30,5000000,USD,2024-10-01
US-EIN-521257057-US-EIN-521257057,1,2,2025-10-01,2026-09-30,5000000,USD,2025-10-01
US-EIN-521257057-US-EIN-521257057,1,2,2026-10-01,2027-09-30,5000000,USD,2026-10-01
US-EIN-521257057-US-EIN-521257057,1,2,2027-10-01,2028-09-30,5000000,USD,2027-10-01
