activity_identifier,org_ref,org_name,org_name_lang,org_type,role,activity_id,crs_channel_code
US-EIN-521257057-US-EIN-521257057,XM-DAC-7,Netherlands - Ministry of Foreign Affairs,,10,1,,
US-EIN-521257057-US-EIN-521257057,US-EIN-521257057,WRI Global Office,,21,2,,
