activity_identifier,url,format,title,title_lang,description,description_lang,category_code,language_code,document_date
US-EIN-521257057-US-EIN-521257057,https://files.wri.org/d8/s3fs-public/2023-07/wri-strategic-plan-2023-27-full-version.pdf,application/pdf,2023-2027 WRI Strategic Plan,,,,B02,,
US-EIN-521257057-US-EIN-521257057,https://www.dropbox.com/scl/fi/xrzeu8wodcvrfm74mia0b/WRI-FY23-End-of-Year-Results-and-Learnings-Report.pdf?rlkey=1czlpdv4mfvtollaqjojzqy0r&dl=0,application/pdf,WRI FY23 End of Year Results and Learnings Report,,,,B01,,
