activity_identifier,org_ref,org_name,org_type,role,activity_id,crs_channel_code
US-GOV-1-7200AA18C00086,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-7200AA18C00086,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-7200AA18C00086,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA18C00086,XI-DUNS-121031231,Priority Worldwide Services,70,4,,
