organisation_identifier,period_start,period_end,value,currency,value_date
44002,2019-07-01,2020-06-30,13321629636,USD,2019-07-01
44002,2020-07-01,2021-06-30,22927000000,USD,2021-07-01
44002,2020-07-01,2021-06-30,21255000000,USD,2021-07-01
44002,2021-07-01,2022-06-30,27771000000,USD,2022-06-30
