organisation_identifier,budget_kind,budget_status,period_start,period_end,value,currency,value_date,recipient_org_ref,recipient_org_type,recipient_org_name,recipient_country_code,recipient_region_code,recipient_region_vocabulary
44002,recipient-country-budget,1,2024-01-01,2024-12-31,21063001,USD,2024-01-01,,,,VU,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,21484261,USD,2025-01-01,,,,VU,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,21913946,USD,2026-01-01,,,,VU,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,22352225,USD,2027-01-01,,,,VU,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,23230184,USD,2024-01-01,,,,WS,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,23694788,USD,2025-01-01,,,,WS,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,24168684,USD,2026-01-01,,,,WS,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,24652057,USD,2027-01-01,,,,WS,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,39403535,USD,2024-01-01,,,,XK,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,40191606,USD,2025-01-01,,,,XK,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,40995438,USD,2026-01-01,,,,XK,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,41815347,USD,2027-01-01,,,,XK,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,331127010,USD,2024-01-01,,,,ZM,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,337749551,USD,2025-01-01,,,,ZM,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,344504542,USD,2026-01-01,,,,ZM,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,351394632,USD,2027-01-01,,,,ZM,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,1251412286,USD,2024-01-01,,,,CD,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,1276440531,USD,2025-01-01,,,,CD,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,1301969342,USD,2026-01-01,,,,CD,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,1328008729,USD,2027-01-01,,,,CD,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,498846,USD,2024-01-01,,,,ZW,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,508823,USD,2025-01-01,,,,ZW,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,519000,USD,2026-01-01,,,,ZW,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,529380,USD,2027-01-01,,,,ZW,,
