organisation_identifier,budget_kind,budget_status,period_start,period_end,value,currency,value_date,recipient_org_ref,recipient_org_type,recipient_org_name,recipient_country_code,recipient_region_code,recipient_region_vocabulary
44002,recipient-country-budget,1,2026-01-01,2026-12-31,42605981,USD,2026-01-01,,,,DM,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,43458101,USD,2027-01-01,,,,DM,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,1815118841,USD,2024-01-01,,,,ET,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,1851421218,USD,2025-01-01,,,,ET,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,1888449643,USD,2026-01-01,,,,ET,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,1926218635,USD,2027-01-01,,,,ET,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,15580596,USD,2024-01-01,,,,FJ,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,15892208,USD,2025-01-01,,,,FJ,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,16210052,USD,2026-01-01,,,,FJ,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,16534253,USD,2027-01-01,,,,FJ,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,10820757,USD,2024-01-01,,,,FM,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,11037173,USD,2025-01-01,,,,FM,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,11257916,USD,2026-01-01,,,,FM,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,11483074,USD,2027-01-01,,,,FM,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,39778243,USD,2024-01-01,,,,GD,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,40573808,USD,2025-01-01,,,,GD,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,41385284,USD,2026-01-01,,,,GD,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,42212990,USD,2027-01-01,,,,GD,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,644464014,USD,2024-01-01,,,,GH,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,657353294,USD,2025-01-01,,,,GH,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,670500360,USD,2026-01-01,,,,GH,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,683910368,USD,2027-01-01,,,,GH,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,148945630,USD,2024-01-01,,,,GM,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,151924542,USD,2025-01-01,,,,GM,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,154963033,USD,2026-01-01,,,,GM,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,158062294,USD,2027-01-01,,,,GM,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,151998818,USD,2024-01-01,,,,GN,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,155038794,USD,2025-01-01,,,,GN,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,158139570,USD,2026-01-01,,,,GN,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,161302362,USD,2027-01-01,,,,GN,,
