activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
44000-P171269,result_18,indicator_44000-P171269_result_18_1,2020-04-09,2025-06-30,24.00,,11.00,
44000-P171269,result_19,indicator_44000-P171269_result_19_1,2020-04-09,2025-06-30,"10,000.00",,1164,
44000-P171269,result_20,indicator_44000-P171269_result_20_1,2020-04-09,2025-06-30,4.00,,0,
44000-P171269,result_21,indicator_44000-P171269_result_21_1,2020-04-09,2025-06-30,Yes,,No,
44000-P171269,result_22,indicator_44000-P171269_result_22_1,2020-04-09,2025-06-30,Yes,,No,
44000-P171269,result_23,indicator_44000-P171269_result_23_1,2020-04-09,2025-06-30,20.00,,28 Regional Block Grants (RBGs) and Innovation Grants (IGs) under implementation and none yet to be completed ,
44000-P171269,result_24,indicator_44000-P171269_result_24_1,2020-04-09,2025-06-30,Yes,,Yes,
44000-P171269,result_25,indicator_44000-P171269_result_25_1,2020-04-09,2025-06-30,16.00,,3,
44000-P171269,result_26,indicator_44000-P171269_result_26_1,2020-04-03,2025-06-30,3.00,,3,
44000-P171269,result_27,indicator_44000-P171269_result_27_1,2020-04-09,2025-06-30,16.00,,1,
44000-P171269,result_28,indicator_44000-P171269_result_28_1,2020-04-09,2025-06-30,8.00,,2,
44000-P171054,result_1,indicator_44000-P171054_result_1_1,2020-05-03,2025-07-27,40.00,,24,
44000-P171054,result_2,indicator_44000-P171054_result_2_1,2020-05-08,2025-08-01,5.00,,1.00,
44000-P171054,result_3,indicator_44000-P171054_result_3_1,2020-05-03,2025-07-27,5.00,,0.00,
44000-P171054,result_4,indicator_44000-P171054_result_4_1,2024-11-15,2025-07-15,30,,0,
44000-P171054,result_5,indicator_44000-P171054_result_5_1,2020-05-08,2025-05-08,70.00,,81.40,
44000-P171054,result_6,indicator_44000-P171054_result_6_1,2020-05-03,2025-07-27,5.00,,4.00,
44000-P171054,result_7,indicator_44000-P171054_result_7_1,2020-05-08,2025-08-01,70.00,,86.55,
44000-P171054,result_8,indicator_44000-P171054_result_8_1,2020-05-08,2025-05-08,70.00,,79.95,
44000-P171054,result_9,indicator_44000-P171054_result_9_1,2020-05-03,2025-07-27,"2,370.00",,1832,
44000-P171054,result_10,indicator_44000-P171054_result_10_1,2020-05-03,2025-07-27,50.00,,43,
44000-P171054,result_11,indicator_44000-P171054_result_11_1,2020-05-03,2025-07-27,31.00,,39.00,
44000-P171054,result_12,indicator_44000-P171054_result_12_1,2020-05-03,2025-07-27,4.00,,3.00,
44000-P171054,result_13,indicator_44000-P171054_result_13_1,2020-05-08,2025-08-01,"10,000.00",,"61,199",
44000-P171054,result_14,indicator_44000-P171054_result_14_1,2020-05-03,2025-07-27,15.00,,1,
44000-P171054,result_15,indicator_44000-P171054_result_15_1,2020-05-03,2025-07-27,14.00,,3,
