activity_identifier,title,description,activity_status,activity_scope,default_currency,humanitarian,hierarchy,last_updated_datetime,xml_lang,reporting_org_ref,reporting_org_name,reporting_org_type,planned_start_date,actual_start_date,planned_end_date,actual_end_date,recipient_country_code,recipient_country_name,recipient_country_lang,recipient_region_code,recipient_region_name,recipient_region_lang,collaboration_type,default_flow_type,default_finance_type,default_aid_type,default_tied_status
XM-DAC-46007-501239,Programa de Apoyo a la Seguridad Alimentaria en Argentina. Fase IV,"Contempla apoyar al prestatario por medio del reembolso parcial de las transferencias monetarias que fueron realizadas por el Estado Argentino durante el mes de abril de 2025 en concepto de la Prestación Alimentar, a fin de combatir la inseguridad alimentaria del país.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,AR,Argentina,es,,,,,,,,
XM-DAC-46007-501140,Segundo Circuito SIEPAC,"Financiar parcialmente la ejecución del Proyecto Segundo Circuito SIEPAC, esta operación implica el tendido de 178.5 km de línea en 230kV del segundo circuito entre las subestaciones de Agua Caliente (Honduras) y Sandino (Nicaragua) y 123.3 km en 230kV entre las subestaciones de La Virgen (Nicaragua) y Fortuna (Costa Rica) utilizando la infraestructura existente de la línea SIEPAC. Asimismo, se contempla la ampliación de dichas subestaciones. ",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,,,es,1032,America Central,es,,,,,
XM-DAC-46007-500634,Programa Mi Nueva Escuela,"El programa consiste en el rediseño de las instalaciones educativas en su infraestructura para lograr un impacto positivo en el aprendizaje de la niñez y jóvenes, brindándoles accesibilidad a la educación, el uso de herramientas tecnológicas y propiciar condiciones ideales para implementar una agenda educativa complementaria.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,SV,El Salvador,es,,,,,,,,
XM-DAC-46007-500470,Proyecto Construcción de Viaducto y Ampliación de Carretera CA01W (Tramo Los Chorros),"El Proyecto consiste en la construcción de un viaducto y ampliación de la carretera Panamericana CA01W (Tramo Los Chorros), entre Autopista Monseñor Romero y CA01W; municipios de Santa Tecla, Colón y San Juan Opico, departamento de La Libertad, EL Salvador. El Proyecto consiste en la ampliación a seis carriles de 13.015 km de carretera y la construcción de un viaducto elevado de seis carriles de 1.615 km de longitud, totalizando 14.630 km en concreto hidráulico, e incluye la construcción de 11 pasos peatonales elevados, un paso a desnivel que le dará ingreso al tráfico vehicular a Colón, modificación del intercambiador que va al municipio de Sonsonate, y obras de mitigación para prevenir deslizamientos y derrumbes, entre los elementos más importantes.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,SV,El Salvador,es,,,,,,,,
XM-DAC-46007-500446,Programa de Apoyo a la Educación Media,"El Programa de Apoyo de Educación Media consiste en la mejora de la infraestructura de centros de educación media pública en todo el territorio nacional, con énfasis en las zonas de mayor pobreza urbana y rural y la formación de docentes y estudiantes en metodología de competencias y emprendedurismo.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,HN,Honduras,es,,,,,,,,
XM-DAC-46007-500744,OPD para apoyar acciones de política y resultados de desarrollo,"El objetivo de desarrollo de la OPD es apoyar a la República de Costa Rica para promover crecimiento económico equilibrado, reducción de la pobreza, desarrollo sostenible y combate al cambio climático, que fortalezcan el mantenimiento de la estabilidad macroeconómica.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,CR,Costa Rica,es,,,,,,,,
XM-DAC-46007-500240,Proyecto Rehabilitación de la Pista Juan Pablo II y Construcción de Pasos a Desnivel,"El proyecto consiste en la rehabilitación y ampliación de 9.55 km. de la Pista Juan Pablo II, utilizando una estructura de pavimento de concreto hidráulico diseñada para una vida útil de 25 años. La pista, que actualmente cuenta con cuatro carriles, dos en cada sentido, contará con seis carriles, tres en ambos sentidos. Los carriles interiores serán para uso exclusivo de autobuses, mientras que los dos exteriores serán destinados al tráfico mixto. El proyecto comprende, además, la construcción de cinco pasos a desnivel en intersecciones y seis puentes peatonales.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,NI,Nicaragua,es,,,,,,,,
XM-DAC-46007-500626,Programa Nacional de Electrificación Sostenible y Energía Renovable para Nicaragua (PNESER) - Componente C,"Los fondos provenientes del incremento del préstamo serán utilizados por el prestatario para financiar el Programa Nacional de Electrificación Sostenible y Energía Renovable (PNESER). El PNESER fue diseñado como un programa integral de largo plazo a ser implementado en todo el país, teniendo como fin general promover el acceso de una porción importante de la población a un servicio de electricidad eficiente y sostenible.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,NI,Nicaragua,es,,,,,,,,
XM-DAC-46007-500818,Programa de Inversión Social en Seguridad Ciudadana para la Provincia del Chaco,"El objetivo general de la operación es contribuir a mejorar la calidad de la prestación del servicio de seguridad ciudadana, y garantizar estándares mínimos, dignos y seguros, en establecimientos edilicios para las personas en contexto de encierro.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,AR,Argentina,es,,,,,,,,
XM-DAC-46007-500832,Proyecto de Construcción de la Línea 2C del Metro de Santo Domingo,"El objetivo general es disponer de un transporte eficiente, para interconectar la zona de Santo Domingo Oeste con la ampliación de la Línea 2C del Metro de Santo Domingo, incrementando los niveles de satisfacción del transporte con infraestructura de calidad acorde a los niveles de confiabilidad, reduciendo la contaminación ambiental, el gasto familiar, la inseguridad y favoreciendo la descongestión vehicular.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,DO,República Dominicana,es,,,,,,,,
XM-DAC-46007-501149,Complejo Educativo y Deportivo Campus San Cristóbal,"El proyecto consiste en el diseño, construcción y operación del complejo educativo y deportivo Campus San Cristóbal (CSC), el cual constará de tres ejes principales: a) Un campus de colegio PK-12 con capacidad de 1,400 estudiantes. b) Un campus universitario con capacidad de 10,000 estudiantes. c) Un campus deportivo con instalaciones deportivas de nivel olímpico.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,GT,Guatemala,es,,,,,,,,
XM-DAC-46007-501138,Programa Surf City - Fase I,"El Programa consiste en mejorar las condiciones de movilidad urbana, turística y logística; y la gestión de los recursos naturales a través del saneamiento básico de aguas residuales en el corredor de la Carretera Litoral (CA02), y en consecuencia, estimular los esfuerzos de desarrollo humano, productivo y turístico para contribuir a la mejora de la calidad de vida de las personas.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,SV,El Salvador,es,,,,,,,,
XM-DAC-46007-500669,Programa Piloto para la Transformación Digital de las PYMES Argentinas,"El Programa Piloto para la Transformación Digital de las pymes argentinas, es una iniciativa con enfoque integral que busca catalizar la transformación digital y la adopción de tecnologías de la Industria 4.0 por las pequeñas y medianas empresas, mejorando la competitividad y productividad de cuatro cadenas de valor prioritarias para el desarrollo del país.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,AR,Argentina,es,,,,,,,,
XM-DAC-46007-501238,Proyecto Acueducto Múltiple Región Suroeste (ASURO),"El objetivo del proyecto es mejorar el acceso al servicio de agua potable en comunidades prioritarias de las provincias de Barahona, Bahoruco e Independencia, mediante el fortalecimiento de la infraestructura de abastecimiento, el aumento de la capacidad de tratamiento y almacenamiento y la implementación de medidas complementarias de sostenibilidad operativa, institucional y ambiental.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,DO,República Dominicana,es,,,,,,,,
XM-DAC-46007-500900,Programa de Abastecimiento de Ambulancias para el Sistema de Salud,El objetivo general del programa es fortalecer los servicios de atención a emergencias médicas del sistema de salud de la República Dominicana.,1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,DO,República Dominicana,es,,,,,,,,
XM-DAC-46007-501227,OPD para el impulso de la acción climática y Conservación del capital natural,"El objetivo es fortalecer la capacidad del Estado para implementar de manera efectiva su agenda climática y ambiental, mediante reformas normativas, institucionales y técnicas que aceleren la descarbonización, la adaptación al cambio climático y la conservación de los ecosistemas estratégicos.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,CO,Colombia,es,,,,,,,,
XM-DAC-46007-501142,Programa de Mejoramiento y Ampliación en 4 Sistemas de Agua Potable en 5 Ciudades de Nicaragua,"El objetivo general del Programa es contribuir a aumentar el nivel de vida de la población de las ciudades atendidas, mediante la ampliación y mejoramiento de sistemas de agua potable con mejoras en la continuidad, eficiencia y calidad del servicio, de forma compatible con el medio ambiente.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,NI,Nicaragua,es,,,,,,,,
