activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-46008-cfa010546,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011385,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa007783,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa007788,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011504,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009784,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011831,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011264,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011235,8,Salud,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012636,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009896,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010459,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011250,8,Salud,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008109,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011571,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009883,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011208,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011805,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008711,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012364,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008707,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011243,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012008,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa006532,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010602,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008602,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011636,8,Salud,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa004515,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010482,12,Multisectorial,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011684,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011854,8,Salud,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011260,8,Salud,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012323,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa007943,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa004492,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012363,1,Administración pública,99,https://www.caf.com/sectores-iati,
