activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,provider_org_ref,provider_org_name,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_type,disbursement_channel,flow_type,finance_type,aid_type,tied_status,humanitarian
XM-DAC-46008-cfl0000003476,,2,2022-06-14,34508301,USD,2022-06-14,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003476,,3,2025-06-26,29508301,USD,2025-06-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa012339,,2,2024-07-29,43417880,USD,2024-07-29,,,,,,,,,,,,,0
XM-DAC-46008-cfa012339,,3,2024-07-29,0,USD,2024-07-29,,,,,,,,,,,,,0
XM-DAC-46008-cfa012700,,2,2025-08-19,100000000,USD,2025-08-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa012700,,3,2025-08-19,0,USD,2025-08-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa012373,,2,2024-09-24,223420000,USD,2024-09-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa012373,,3,2024-12-16,24291070,USD,2024-12-16,,,,,,,,,,,,,0
XM-DAC-46008-cfa011501,,2,2021-06-07,243800000,USD,2021-06-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa011501,,3,2025-09-19,168036979,USD,2025-09-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa008390,,2,2013-12-10,100000000,USD,2013-12-10,,,,,,,,,,,,,0
XM-DAC-46008-cfa012016,,2,2023-05-24,75000000,USD,2023-05-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa012016,,3,2023-11-01,75000000,USD,2023-11-01,,,,,,,,,,,,,0
XM-DAC-46008-cfa010059,,2,2017-10-27,10000000,USD,2017-10-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa010059,,3,2025-06-11,9991015,USD,2025-06-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa011342,,2,2020-11-11,120000000,USD,2020-11-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa011342,,3,2024-10-18,35397336,USD,2024-10-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa012391,,2,2024-10-10,80000000,USD,2024-10-10,,,,,,,,,,,,,0
XM-DAC-46008-cfa012391,,3,2025-09-17,16000000,USD,2025-09-17,,,,,,,,,,,,,0
XM-DAC-46008-cfa011022,,2,2019-11-22,82500000,USD,2019-11-22,,,,,,,,,,,,,0
XM-DAC-46008-cfa011022,,3,2025-08-06,51751300,USD,2025-08-06,,,,,,,,,,,,,0
XM-DAC-46008-cfa011408,,2,2020-12-24,212000000,USD,2020-12-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa011408,,3,2025-04-25,122903390,USD,2025-04-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa010099,,2,2017-11-21,75000000,USD,2017-11-21,,,,,,,,,,,,,0
XM-DAC-46008-cfa010099,,3,2023-11-14,2306052,USD,2023-11-14,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003069,,2,2019-11-27,16405000,USD,2019-11-27,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003069,,3,2025-09-05,11105000,USD,2025-09-05,,,,,,,,,,,,,0
XM-DAC-46008-cfa010199,,2,2018-01-16,100000000,USD,2018-01-16,,,,,,,,,,,,,0
XM-DAC-46008-cfa010199,,3,2025-09-23,93403743,USD,2025-09-23,,,,,,,,,,,,,0
XM-DAC-46008-cfa011307,,2,2020-09-03,50000000,USD,2020-09-03,,,,,,,,,,,,,0
XM-DAC-46008-cfa011307,,3,2021-12-08,37500000,USD,2021-12-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa011752,,2,2022-06-22,35000000,USD,2022-06-22,,,,,,,,,,,,,0
XM-DAC-46008-cfa011752,,3,2025-06-20,19611071,USD,2025-06-20,,,,,,,,,,,,,0
XM-DAC-46008-cfa012460,,2,2024-12-06,150000000,USD,2024-12-06,,,,,,,,,,,,,0
XM-DAC-46008-cfa012460,,3,2025-03-07,101325000,USD,2025-03-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa007946,,2,2012-10-19,10040000,USD,2012-10-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa007946,,3,2025-06-11,10006279,USD,2025-06-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa008945,,2,2015-06-15,100000000,USD,2015-06-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa008945,,3,2024-04-12,94684566,USD,2024-04-12,,,,,,,,,,,,,0
XM-DAC-46008-cfa012160,,2,2023-11-08,70000000,USD,2023-11-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa012160,,3,2023-11-13,39000000,USD,2023-11-13,,,,,,,,,,,,,0
XM-DAC-46008-cfa012564,,2,2025-03-11,500000000,USD,2025-03-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa012564,,3,2025-09-25,395000000,USD,2025-09-25,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003442,,2,2022-04-08,18000000,USD,2022-04-08,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003442,,3,2025-09-19,9000000,USD,2025-09-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa011677,,2,2022-01-26,100000000,USD,2022-01-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa011677,,3,2025-01-06,82179484,USD,2025-01-06,,,,,,,,,,,,,0
XM-DAC-46008-cfa012704,,2,2025-08-07,135000000,USD,2025-08-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012704,,3,2025-08-07,0,USD,2025-08-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012206,,2,2023-12-11,19000000,USD,2023-12-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa012206,,3,2023-12-11,0,USD,2023-12-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa009731,,2,2016-12-30,10000000,USD,2016-12-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa009731,,3,2022-03-14,0,USD,2022-03-14,,,,,,,,,,,,,0
XM-DAC-46008-cfa011994,,2,2023-05-09,58400000,USD,2023-05-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa011994,,3,2025-09-05,29146400,USD,2025-09-05,,,,,,,,,,,,,0
XM-DAC-46008-cfa012050,,2,2023-07-07,45000000,USD,2023-07-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012050,,3,2025-09-08,21832500,USD,2025-09-08,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003477,,2,2022-06-22,6000000,USD,2022-06-22,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003477,,3,2022-09-02,3000000,USD,2022-09-02,,,,,,,,,,,,,0
XM-DAC-46008-cfa011063,,2,2019-12-30,50000000,USD,2019-12-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa011063,,3,2025-09-15,39228000,USD,2025-09-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa009757,,2,2017-03-08,70000000,USD,2017-03-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa009757,,3,2025-07-25,69951820,USD,2025-07-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa010713,,2,2019-03-13,55000000,USD,2019-03-13,,,,,,,,,,,,,0
XM-DAC-46008-cfa010713,,3,2024-06-13,31108430,USD,2024-06-13,,,,,,,,,,,,,0
XM-DAC-46008-cfa009204,,2,2015-12-08,68250000,USD,2015-12-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa012275,,2,2024-05-07,6000000,USD,2024-05-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012275,,3,2025-07-09,1200000,USD,2025-07-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa011459,,2,2021-04-21,75000000,USD,2021-04-21,,,,,,,,,,,,,0
XM-DAC-46008-cfa011459,,3,2025-03-19,64118993,USD,2025-03-19,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003412,,2,2015-12-10,100000000,USD,2015-12-10,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003412,,3,2025-01-27,100000000,USD,2025-01-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa011191,,2,2020-03-30,300000000,USD,2020-03-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa011191,,3,2023-11-15,48521246,USD,2023-11-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa011189,,2,2020-03-30,130000000,USD,2020-03-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa011189,,3,2025-02-27,36446760,USD,2025-02-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa008748,,2,2014-10-10,50000000,USD,2014-10-10,,,,,,,,,,,,,0
XM-DAC-46008-cfa008748,,3,2023-06-29,49970000,USD,2023-06-29,,,,,,,,,,,,,0
XM-DAC-46008-cfa007990,,2,2012-11-06,20240000,USD,2012-11-06,,,,,,,,,,,,,0
XM-DAC-46008-cfa007990,,3,2022-06-23,15144251,USD,2022-06-23,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000002469,,2,2015-12-10,12000000,USD,2015-12-10,,,,,,,,,,,,,0
XM-DAC-46008-cfa011827,,2,2022-10-04,50000000,USD,2022-10-04,,,,,,,,,,,,,0
XM-DAC-46008-cfa011827,,3,2025-02-12,28762348,USD,2025-02-12,,,,,,,,,,,,,0
XM-DAC-46008-cfa012093,,2,2023-08-21,28000000,USD,2023-08-21,,,,,,,,,,,,,0
XM-DAC-46008-cfa012093,,3,2024-05-10,19256544,USD,2024-05-10,,,,,,,,,,,,,0
XM-DAC-46008-cfa008741,,2,2014-11-25,176000000,USD,2014-11-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa008741,,3,2018-02-28,139560000,USD,2018-02-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa011456,,2,2021-03-23,50000000,USD,2021-03-23,,,,,,,,,,,,,0
XM-DAC-46008-cfa011456,,3,2023-12-27,19500000,USD,2023-12-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa012334,,2,2024-08-05,50000000,USD,2024-08-05,,,,,,,,,,,,,0
XM-DAC-46008-cfa012334,,3,2025-05-19,2300026,USD,2025-05-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa010061,,2,2017-10-27,100000000,USD,2017-10-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa010061,,3,2025-02-27,53635000,USD,2025-02-27,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003683,,2,2023-05-25,4963076,USD,2023-05-25,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003683,,3,2025-02-06,4963076,USD,2025-02-06,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003580,,2,2022-12-12,22790272,USD,2022-12-12,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003580,,3,2025-09-12,6123605,USD,2025-09-12,,,,,,,,,,,,,0
XM-DAC-46008-cfa009759,,2,2017-03-08,61000000,USD,2017-03-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa009759,,3,2025-06-20,50252227,USD,2025-06-20,,,,,,,,,,,,,0
XM-DAC-46008-cfa011906,,2,2022-12-27,80000000,USD,2022-12-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa011906,,3,2024-11-13,3031650,USD,2024-11-13,,,,,,,,,,,,,0
XM-DAC-46008-cfa010209,,2,2018-02-15,119000000,USD,2018-02-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa010209,,3,2025-07-31,42888585,USD,2025-07-31,,,,,,,,,,,,,0
XM-DAC-46008-cfa009272,,2,2016-02-18,86150000,USD,2016-02-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa009272,,3,2025-05-09,78949231,USD,2025-05-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa011790,,2,2022-08-19,75000000,USD,2022-08-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa011790,,3,2022-08-30,75000000,USD,2022-08-30,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003406,,2,2021-12-15,15000000,USD,2021-12-15,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003406,,3,2024-12-05,12500000,USD,2024-12-05,,,,,,,,,,,,,0
XM-DAC-46008-cfa011061,,2,2019-11-29,9368528,USD,2019-11-29,,,,,,,,,,,,,0
XM-DAC-46008-cfa011061,,3,2024-06-17,9368528,USD,2024-06-17,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003492,,2,2022-07-20,31000000,USD,2022-07-20,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003492,,3,2025-06-26,8500000,USD,2025-06-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa012056,,2,2023-07-04,75000000,USD,2023-07-04,,,,,,,,,,,,,0
XM-DAC-46008-cfa012056,,3,2024-12-18,15000000,USD,2024-12-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa012596,,2,2025-04-16,72000000,USD,2025-04-16,,,,,,,,,,,,,0
XM-DAC-46008-cfa012596,,3,2025-04-16,0,USD,2025-04-16,,,,,,,,,,,,,0
XM-DAC-46008-cfa010675,,2,2019-01-18,75000000,USD,2019-01-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa010675,,3,2024-12-26,71589777,USD,2024-12-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa012325,,2,2024-07-30,218670663,USD,2024-07-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa012325,,3,2025-08-19,15000000,USD,2025-08-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa008791,,2,2014-12-30,48000000,USD,2014-12-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa012442,,2,2024-11-27,70000000,USD,2024-11-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa012442,,3,2025-05-28,661754,USD,2025-05-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa012569,,2,2025-03-19,75000000,USD,2025-03-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa012569,,3,2025-04-04,75000000,USD,2025-04-04,,,,,,,,,,,,,0
XM-DAC-46008-cfa011489,,2,2021-05-18,233315826,USD,2021-05-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa011489,,3,2025-07-30,214958193,USD,2025-07-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa012694,,2,2025-08-07,35000000,USD,2025-08-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012694,,3,2025-08-07,0,USD,2025-08-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa011057,,2,2019-12-20,34122000,USD,2019-12-20,,,,,,,,,,,,,0
XM-DAC-46008-cfa011057,,3,2024-12-20,516503,USD,2024-12-20,,,,,,,,,,,,,0
XM-DAC-46008-cfa009919,,2,2017-07-04,13000000,USD,2017-07-04,,,,,,,,,,,,,0
XM-DAC-46008-cfa009919,,3,2024-06-07,11282948,USD,2024-06-07,,,,,,,,,,,,,0
XM-DAC-46008-cfc012385,,2,2024-09-26,200000,USD,2024-09-26,,,,,,,,,,,,,0
XM-DAC-46008-cfc012385,,3,2024-09-26,0,USD,2024-09-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa902406,,2,2023-05-24,15000000,USD,2023-05-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa902406,,3,2025-07-25,0,USD,2025-07-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa012064,,2,2023-07-28,150000000,USD,2023-07-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa012064,,3,2025-08-27,28293783,USD,2025-08-27,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003443,,2,2022-05-10,60000000,USD,2022-05-10,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003443,,3,2025-09-05,50000000,USD,2025-09-05,,,,,,,,,,,,,0
XM-DAC-46008-cfa011997,,2,2023-05-09,80925650,USD,2023-05-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa011997,,3,2025-03-18,16185130,USD,2025-03-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa011175,,2,2020-03-30,150000000,USD,2020-03-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa011175,,3,2025-08-14,108291300,USD,2025-08-14,,,,,,,,,,,,,0
XM-DAC-46008-cfa011740,,2,2022-05-25,49000000,USD,2022-05-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa011740,,3,2025-05-23,40806649,USD,2025-05-23,,,,,,,,,,,,,0
XM-DAC-46008-cfa011247,,2,2020-06-25,50000000,USD,2020-06-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa011247,,3,2022-08-26,24584109,USD,2022-08-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa010641,,2,2018-12-28,60870000,USD,2018-12-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa010641,,3,2025-04-11,35814097,USD,2025-04-11,,,,,,,,,,,,,0
XM-DAC-46008-cfa008471,,2,2014-01-31,20100000,USD,2014-01-31,,,,,,,,,,,,,0
XM-DAC-46008-cfa008471,,3,2021-06-09,13151483,USD,2021-06-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa011781,,2,2022-08-19,75000000,USD,2022-08-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa011781,,3,2025-09-26,48065050,USD,2025-09-26,,,,,,,,,,,,,0
XM-DAC-46008-cfa009660,,2,2016-12-12,72000000,USD,2016-12-12,,,,,,,,,,,,,0
XM-DAC-46008-cfa009660,,3,2022-04-28,69807921,USD,2022-04-28,,,,,,,,,,,,,0
