activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
XM-DAC-46008-cfa011994,result_2,indicator_XM-DAC-46008-cfa011994_result_2_1,2023-05-09,2023-05-09,4,,,
XM-DAC-46008-cfa011994,result_3,indicator_XM-DAC-46008-cfa011994_result_3_1,2023-05-09,2023-05-09,137,,,
XM-DAC-46008-cfa011994,result_4,indicator_XM-DAC-46008-cfa011994_result_4_1,2023-05-09,2023-05-09,19,,,
XM-DAC-46008-cfa011994,result_5,indicator_XM-DAC-46008-cfa011994_result_5_1,2023-05-09,2023-05-09,1075,,,
XM-DAC-46008-cfa011994,result_6,indicator_XM-DAC-46008-cfa011994_result_6_1,2023-05-09,2023-05-09,11000000,,,
XM-DAC-46008-cfa012050,result_1,indicator_XM-DAC-46008-cfa012050_result_1_1,2023-07-07,2023-07-07,48,,,
XM-DAC-46008-cfa012050,result_2,indicator_XM-DAC-46008-cfa012050_result_2_1,2023-07-07,2023-07-07,3,,,
XM-DAC-46008-cfa012050,result_3,indicator_XM-DAC-46008-cfa012050_result_3_1,2023-07-07,2023-07-07,330098,,,
XM-DAC-46008-cfa012050,result_4,indicator_XM-DAC-46008-cfa012050_result_4_1,2023-07-07,2023-07-07,1,,,
XM-DAC-46008-cfl0000003477,result_1,indicator_XM-DAC-46008-cfl0000003477_result_1_1,2022-06-22,2022-06-22,3049,,,
XM-DAC-46008-cfa011063,result_1,indicator_XM-DAC-46008-cfa011063_result_1_1,2019-12-30,2019-12-30,160000,,,
XM-DAC-46008-cfa012275,result_1,indicator_XM-DAC-46008-cfa012275_result_1_1,2024-05-07,2024-05-07,7500,,,
XM-DAC-46008-cfa012275,result_2,indicator_XM-DAC-46008-cfa012275_result_2_1,2024-05-07,2024-05-07,7000,,,
XM-DAC-46008-cfa012275,result_3,indicator_XM-DAC-46008-cfa012275_result_3_1,2024-05-07,2024-05-07,640,,,
XM-DAC-46008-cfa012275,result_4,indicator_XM-DAC-46008-cfa012275_result_4_1,2024-05-07,2024-05-07,4620,,,
XM-DAC-46008-cfa011459,result_1,indicator_XM-DAC-46008-cfa011459_result_1_1,2021-04-21,2021-04-21,78,,,
XM-DAC-46008-cfa011459,result_2,indicator_XM-DAC-46008-cfa011459_result_2_1,2021-04-21,2021-04-21,76,,,
XM-DAC-46008-cfa011459,result_3,indicator_XM-DAC-46008-cfa011459_result_3_1,2021-04-21,2021-04-21,5212,,,
XM-DAC-46008-cfl0000003412,result_1,indicator_XM-DAC-46008-cfl0000003412_result_1_1,2015-12-10,2015-12-10,28,,,
XM-DAC-46008-cfa011191,result_1,indicator_XM-DAC-46008-cfa011191_result_1_1,2020-03-30,2020-03-30,2,,,
XM-DAC-46008-cfa011191,result_2,indicator_XM-DAC-46008-cfa011191_result_2_1,2020-03-30,2020-03-30,274115,,,
XM-DAC-46008-cfa011191,result_3,indicator_XM-DAC-46008-cfa011191_result_3_1,2020-03-30,2020-03-30,1200000,,,
XM-DAC-46008-cfa011191,result_4,indicator_XM-DAC-46008-cfa011191_result_4_1,2020-03-30,2020-03-30,160,,,
XM-DAC-46008-cfa011191,result_5,indicator_XM-DAC-46008-cfa011191_result_5_1,2020-03-30,2020-03-30,133,,,
XM-DAC-46008-cfa011191,result_6,indicator_XM-DAC-46008-cfa011191_result_6_1,2020-03-30,2020-03-30,147,,,
XM-DAC-46008-cfl0000002469,result_1,indicator_XM-DAC-46008-cfl0000002469_result_1_1,2015-12-10,2015-12-10,55,,,
XM-DAC-46008-cfa011827,result_1,indicator_XM-DAC-46008-cfa011827_result_1_1,2022-10-04,2022-10-04,75000,,,
XM-DAC-46008-cfa011827,result_2,indicator_XM-DAC-46008-cfa011827_result_2_1,2022-10-04,2022-10-04,808000,,,
XM-DAC-46008-cfa011827,result_3,indicator_XM-DAC-46008-cfa011827_result_3_1,2022-10-04,2022-10-04,51,,,
XM-DAC-46008-cfa011827,result_4,indicator_XM-DAC-46008-cfa011827_result_4_1,2022-10-04,2022-10-04,9,,,
XM-DAC-46008-cfa012093,result_1,indicator_XM-DAC-46008-cfa012093_result_1_1,2023-08-21,2023-08-21,2000,,,
XM-DAC-46008-cfa012093,result_2,indicator_XM-DAC-46008-cfa012093_result_2_1,2023-08-21,2023-08-21,500,,,
XM-DAC-46008-cfa012093,result_3,indicator_XM-DAC-46008-cfa012093_result_3_1,2023-08-21,2023-08-21,2000,,,
XM-DAC-46008-cfa012093,result_4,indicator_XM-DAC-46008-cfa012093_result_4_1,2023-08-21,2023-08-21,2000,,,
XM-DAC-46008-cfa012093,result_5,indicator_XM-DAC-46008-cfa012093_result_5_1,2023-08-21,2023-08-21,500,,,
XM-DAC-46008-cfa012093,result_6,indicator_XM-DAC-46008-cfa012093_result_6_1,2023-08-21,2023-08-21,500,,,
XM-DAC-46008-cfa012093,result_7,indicator_XM-DAC-46008-cfa012093_result_7_1,2023-08-21,2023-08-21,1000,,,
XM-DAC-46008-cfa012334,result_1,indicator_XM-DAC-46008-cfa012334_result_1_1,2024-08-05,2024-08-05,121531,,,
XM-DAC-46008-cfa012334,result_2,indicator_XM-DAC-46008-cfa012334_result_2_1,2024-08-05,2024-08-05,60653,,,
XM-DAC-46008-cfa012334,result_3,indicator_XM-DAC-46008-cfa012334_result_3_1,2024-08-05,2024-08-05,4820,,,
XM-DAC-46008-cfl0000003683,result_1,indicator_XM-DAC-46008-cfl0000003683_result_1_1,2023-05-25,2023-05-25,2,,,
XM-DAC-46008-cfl0000003683,result_2,indicator_XM-DAC-46008-cfl0000003683_result_2_1,2023-05-25,2023-05-25,835,,,
XM-DAC-46008-cfl0000003580,result_1,indicator_XM-DAC-46008-cfl0000003580_result_1_1,2022-12-12,2022-12-12,8,,,
XM-DAC-46008-cfl0000003580,result_2,indicator_XM-DAC-46008-cfl0000003580_result_2_1,2022-12-12,2022-12-12,1220,,,
XM-DAC-46008-cfa011906,result_1,indicator_XM-DAC-46008-cfa011906_result_1_1,2022-12-27,2022-12-27,5,,,
XM-DAC-46008-cfa011906,result_2,indicator_XM-DAC-46008-cfa011906_result_2_1,2022-12-27,2022-12-27,134000,,,
XM-DAC-46008-cfa011906,result_3,indicator_XM-DAC-46008-cfa011906_result_3_1,2022-12-27,2022-12-27,274000,,,
XM-DAC-46008-cfa011906,result_4,indicator_XM-DAC-46008-cfa011906_result_4_1,2022-12-27,2022-12-27,211600,,,
XM-DAC-46008-cfa011906,result_5,indicator_XM-DAC-46008-cfa011906_result_5_1,2022-12-27,2022-12-27,1,,,
XM-DAC-46008-cfa011906,result_6,indicator_XM-DAC-46008-cfa011906_result_6_1,2022-12-27,2022-12-27,80,,,
XM-DAC-46008-cfl0000003406,result_1,indicator_XM-DAC-46008-cfl0000003406_result_1_1,2021-12-15,2021-12-15,10,,,
XM-DAC-46008-cfa011061,result_1,indicator_XM-DAC-46008-cfa011061_result_1_1,2019-11-29,2019-11-29,31233,,,
XM-DAC-46008-cfa011061,result_2,indicator_XM-DAC-46008-cfa011061_result_2_1,2019-11-29,2019-11-29,257,,,
XM-DAC-46008-cfa011061,result_3,indicator_XM-DAC-46008-cfa011061_result_3_1,2019-11-29,2019-11-29,27010,,,
XM-DAC-46008-cfa011061,result_4,indicator_XM-DAC-46008-cfa011061_result_4_1,2019-11-29,2019-11-29,7680,,,
XM-DAC-46008-cfl0000003492,result_1,indicator_XM-DAC-46008-cfl0000003492_result_1_1,2022-07-20,2022-07-20,149,,,
XM-DAC-46008-cfa012056,result_1,indicator_XM-DAC-46008-cfa012056_result_1_1,2023-07-04,2023-07-04,6231,,,
XM-DAC-46008-cfa012056,result_2,indicator_XM-DAC-46008-cfa012056_result_2_1,2023-07-04,2023-07-04,2254,,,
XM-DAC-46008-cfa012596,result_1,indicator_XM-DAC-46008-cfa012596_result_1_1,2025-04-16,2025-04-16,150000,,,
XM-DAC-46008-cfa012596,result_2,indicator_XM-DAC-46008-cfa012596_result_2_1,2025-04-16,2025-04-16,1,,,
XM-DAC-46008-cfa012596,result_3,indicator_XM-DAC-46008-cfa012596_result_3_1,2025-04-16,2025-04-16,40000,,,
XM-DAC-46008-cfa012596,result_4,indicator_XM-DAC-46008-cfa012596_result_4_1,2025-04-16,2025-04-16,337000,,,
XM-DAC-46008-cfa012596,result_5,indicator_XM-DAC-46008-cfa012596_result_5_1,2025-04-16,2025-04-16,28,,,
XM-DAC-46008-cfa012596,result_6,indicator_XM-DAC-46008-cfa012596_result_6_1,2025-04-16,2025-04-16,30,,,
XM-DAC-46008-cfa012596,result_7,indicator_XM-DAC-46008-cfa012596_result_7_1,2025-04-16,2025-04-16,2300000,,,
XM-DAC-46008-cfa012325,result_1,indicator_XM-DAC-46008-cfa012325_result_1_1,2024-07-30,2024-07-30,11000000,,,
XM-DAC-46008-cfa012325,result_2,indicator_XM-DAC-46008-cfa012325_result_2_1,2024-07-30,2024-07-30,6,,,
XM-DAC-46008-cfa012442,result_1,indicator_XM-DAC-46008-cfa012442_result_1_1,2024-11-27,2024-11-27,30,,,
XM-DAC-46008-cfa012442,result_2,indicator_XM-DAC-46008-cfa012442_result_2_1,2024-11-27,2024-11-27,449249,,,
XM-DAC-46008-cfa012442,result_3,indicator_XM-DAC-46008-cfa012442_result_3_1,2024-11-27,2024-11-27,30,,,
XM-DAC-46008-cfa012442,result_4,indicator_XM-DAC-46008-cfa012442_result_4_1,2024-11-27,2024-11-27,5,,,
XM-DAC-46008-cfa011489,result_1,indicator_XM-DAC-46008-cfa011489_result_1_1,2021-05-18,2021-05-18,1428,,,
XM-DAC-46008-cfa011489,result_2,indicator_XM-DAC-46008-cfa011489_result_2_1,2021-05-18,2021-05-18,160,,,
XM-DAC-46008-cfa011489,result_3,indicator_XM-DAC-46008-cfa011489_result_3_1,2021-05-18,2021-05-18,4202,,,
XM-DAC-46008-cfa011489,result_4,indicator_XM-DAC-46008-cfa011489_result_4_1,2021-05-18,2021-05-18,1,,,
XM-DAC-46008-cfa011489,result_5,indicator_XM-DAC-46008-cfa011489_result_5_1,2021-05-18,2021-05-18,60,,,
XM-DAC-46008-cfa011489,result_6,indicator_XM-DAC-46008-cfa011489_result_6_1,2021-05-18,2021-05-18,12307527,,,
XM-DAC-46008-cfa011057,result_1,indicator_XM-DAC-46008-cfa011057_result_1_1,2019-12-20,2019-12-20,400000,,,
XM-DAC-46008-cfa011057,result_2,indicator_XM-DAC-46008-cfa011057_result_2_1,2019-12-20,2019-12-20,1,,,
XM-DAC-46008-cfa011057,result_3,indicator_XM-DAC-46008-cfa011057_result_3_1,2019-12-20,2019-12-20,37300000,,,
XM-DAC-46008-cfa012064,result_1,indicator_XM-DAC-46008-cfa012064_result_1_1,2023-07-28,2023-07-28,51964,,,
XM-DAC-46008-cfa012064,result_2,indicator_XM-DAC-46008-cfa012064_result_2_1,2023-07-28,2023-07-28,5780,,,
XM-DAC-46008-cfa012064,result_3,indicator_XM-DAC-46008-cfa012064_result_3_1,2023-07-28,2023-07-28,3000000,,,
XM-DAC-46008-cfl0000003443,result_1,indicator_XM-DAC-46008-cfl0000003443_result_1_1,2022-05-10,2022-05-10,294,,,
XM-DAC-46008-cfl0000003443,result_2,indicator_XM-DAC-46008-cfl0000003443_result_2_1,2022-05-10,2022-05-10,380,,,
XM-DAC-46008-cfa011997,result_1,indicator_XM-DAC-46008-cfa011997_result_1_1,2023-05-09,2023-05-09,38988000,,,
XM-DAC-46008-cfa011997,result_2,indicator_XM-DAC-46008-cfa011997_result_2_1,2023-05-09,2023-05-09,15,,,
XM-DAC-46008-cfa011997,result_3,indicator_XM-DAC-46008-cfa011997_result_3_1,2023-05-09,2023-05-09,3,,,
XM-DAC-46008-cfa011997,result_4,indicator_XM-DAC-46008-cfa011997_result_4_1,2023-05-09,2023-05-09,84315,,,
XM-DAC-46008-cfa011997,result_5,indicator_XM-DAC-46008-cfa011997_result_5_1,2023-05-09,2023-05-09,80,,,
XM-DAC-46008-cfa011997,result_6,indicator_XM-DAC-46008-cfa011997_result_6_1,2023-05-09,2023-05-09,61,,,
XM-DAC-46008-cfa011740,result_1,indicator_XM-DAC-46008-cfa011740_result_1_1,2022-05-25,2022-05-25,3060,,,
XM-DAC-46008-cfa011740,result_2,indicator_XM-DAC-46008-cfa011740_result_2_1,2022-05-25,2022-05-25,1027500,,,
XM-DAC-46008-cfa011740,result_3,indicator_XM-DAC-46008-cfa011740_result_3_1,2022-05-25,2022-05-25,69,,,
XM-DAC-46008-cfa011740,result_4,indicator_XM-DAC-46008-cfa011740_result_4_1,2022-05-25,2022-05-25,1,,,
XM-DAC-46008-cfa011740,result_5,indicator_XM-DAC-46008-cfa011740_result_5_1,2022-05-25,2022-05-25,27500,,,
XM-DAC-46008-cfa011740,result_6,indicator_XM-DAC-46008-cfa011740_result_6_1,2022-05-25,2022-05-25,327685,,,
XM-DAC-46008-cfa011740,result_7,indicator_XM-DAC-46008-cfa011740_result_7_1,2022-05-25,2022-05-25,483103,,,
XM-DAC-46008-cfa011740,result_8,indicator_XM-DAC-46008-cfa011740_result_8_1,2022-05-25,2022-05-25,54,,,
XM-DAC-46008-cfa011740,result_9,indicator_XM-DAC-46008-cfa011740_result_9_1,2022-05-25,2022-05-25,21,,,
XM-DAC-46008-cfa011740,result_10,indicator_XM-DAC-46008-cfa011740_result_10_1,2022-05-25,2022-05-25,54,,,
XM-DAC-46008-cfa011781,result_1,indicator_XM-DAC-46008-cfa011781_result_1_1,2022-08-19,2022-08-19,32030,,,
XM-DAC-46008-cfa011781,result_2,indicator_XM-DAC-46008-cfa011781_result_2_1,2022-08-19,2022-08-19,1,,,
XM-DAC-46008-cfa011781,result_3,indicator_XM-DAC-46008-cfa011781_result_3_1,2022-08-19,2022-08-19,23000,,,
XM-DAC-46008-cfa012061,result_1,indicator_XM-DAC-46008-cfa012061_result_1_1,2023-07-05,2023-07-05,20,,,
XM-DAC-46008-cfa012061,result_2,indicator_XM-DAC-46008-cfa012061_result_2_1,2023-07-05,2023-07-05,20,,,
XM-DAC-46008-cfa012061,result_3,indicator_XM-DAC-46008-cfa012061_result_3_1,2023-07-05,2023-07-05,460,,,
XM-DAC-46008-cfl0000000620,result_1,indicator_XM-DAC-46008-cfl0000000620_result_1_1,2006-08-08,2006-08-08,11751,,,
XM-DAC-46008-cfl0000000620,result_2,indicator_XM-DAC-46008-cfl0000000620_result_2_1,2006-08-08,2006-08-08,116,,,
XM-DAC-46008-cfa012205,result_1,indicator_XM-DAC-46008-cfa012205_result_1_1,2023-12-11,2023-12-11,1,,,
XM-DAC-46008-cfa012205,result_2,indicator_XM-DAC-46008-cfa012205_result_2_1,2023-12-11,2023-12-11,25613,,,
XM-DAC-46008-cfa012205,result_3,indicator_XM-DAC-46008-cfa012205_result_3_1,2023-12-11,2023-12-11,1,,,
XM-DAC-46008-cfa012205,result_4,indicator_XM-DAC-46008-cfa012205_result_4_1,2023-12-11,2023-12-11,2200000,,,
XM-DAC-46008-cfa012205,result_5,indicator_XM-DAC-46008-cfa012205_result_5_1,2023-12-11,2023-12-11,1,,,
XM-DAC-46008-cfa012205,result_6,indicator_XM-DAC-46008-cfa012205_result_6_1,2023-12-11,2023-12-11,360000,,,
XM-DAC-46008-cfa012265,result_1,indicator_XM-DAC-46008-cfa012265_result_1_1,2024-04-23,2024-04-23,10,,,
XM-DAC-46008-cfa012265,result_2,indicator_XM-DAC-46008-cfa012265_result_2_1,2024-04-23,2024-04-23,30911,,,
XM-DAC-46008-cfa012265,result_3,indicator_XM-DAC-46008-cfa012265_result_3_1,2024-04-23,2024-04-23,1,,,
XM-DAC-46008-cfa012265,result_4,indicator_XM-DAC-46008-cfa012265_result_4_1,2024-04-23,2024-04-23,5385,,,
XM-DAC-46008-cfa012265,result_5,indicator_XM-DAC-46008-cfa012265_result_5_1,2024-04-23,2024-04-23,9609,,,
XM-DAC-46008-cfa012265,result_6,indicator_XM-DAC-46008-cfa012265_result_6_1,2024-04-23,2024-04-23,1,,,
XM-DAC-46008-cfa012265,result_7,indicator_XM-DAC-46008-cfa012265_result_7_1,2024-04-23,2024-04-23,0,,,
XM-DAC-46008-cfa012265,result_8,indicator_XM-DAC-46008-cfa012265_result_8_1,2024-04-23,2024-04-23,146469,,,
XM-DAC-46008-cfa012265,result_9,indicator_XM-DAC-46008-cfa012265_result_9_1,2024-04-23,2024-04-23,9997507,,,
XM-DAC-46008-cfa011652,result_1,indicator_XM-DAC-46008-cfa011652_result_1_1,2021-12-17,2021-12-17,6800000,,,
XM-DAC-46008-cfl0000003481,result_1,indicator_XM-DAC-46008-cfl0000003481_result_1_1,2022-06-14,2022-06-14,11,,,
XM-DAC-46008-cfl0000003481,result_2,indicator_XM-DAC-46008-cfl0000003481_result_2_1,2022-06-14,2022-06-14,432,,,
XM-DAC-46008-cfa012351,result_1,indicator_XM-DAC-46008-cfa012351_result_1_1,2024-08-30,2024-08-30,1814,,,
XM-DAC-46008-cfa012351,result_2,indicator_XM-DAC-46008-cfa012351_result_2_1,2024-08-30,2024-08-30,650000,,,
XM-DAC-46008-cfa012351,result_3,indicator_XM-DAC-46008-cfa012351_result_3_1,2024-08-30,2024-08-30,48854,,,
XM-DAC-46008-cfa012351,result_4,indicator_XM-DAC-46008-cfa012351_result_4_1,2024-08-30,2024-08-30,273,,,
XM-DAC-46008-cfa012351,result_5,indicator_XM-DAC-46008-cfa012351_result_5_1,2024-08-30,2024-08-30,30439,,,
XM-DAC-46008-cfa012351,result_6,indicator_XM-DAC-46008-cfa012351_result_6_1,2024-08-30,2024-08-30,18,,,
XM-DAC-46008-cfa012351,result_7,indicator_XM-DAC-46008-cfa012351_result_7_1,2024-08-30,2024-08-30,864,,,
XM-DAC-46008-cfa012351,result_8,indicator_XM-DAC-46008-cfa012351_result_8_1,2024-08-30,2024-08-30,1,,,
XM-DAC-46008-cfl0000003813,result_1,indicator_XM-DAC-46008-cfl0000003813_result_1_1,2024-03-07,2024-03-07,14,,,
XM-DAC-46008-cfl0000003813,result_2,indicator_XM-DAC-46008-cfl0000003813_result_2_1,2024-03-07,2024-03-07,34,,,
XM-DAC-46008-cfl0000003500,result_1,indicator_XM-DAC-46008-cfl0000003500_result_1_1,2022-08-08,2022-08-08,634,,,
XM-DAC-46008-cfa011585,result_1,indicator_XM-DAC-46008-cfa011585_result_1_1,2021-10-18,2021-10-18,15000000,,,
XM-DAC-46008-cfa011585,result_2,indicator_XM-DAC-46008-cfa011585_result_2_1,2021-10-18,2021-10-18,30000000,,,
XM-DAC-46008-cfa011585,result_3,indicator_XM-DAC-46008-cfa011585_result_3_1,2021-10-18,2021-10-18,80,,,
XM-DAC-46008-cfl0000003438,result_1,indicator_XM-DAC-46008-cfl0000003438_result_1_1,2022-04-06,2022-04-06,114,,,
XM-DAC-46008-cfl0000003438,result_2,indicator_XM-DAC-46008-cfl0000003438_result_2_1,2022-04-06,2022-04-06,60,,,
XM-DAC-46008-cfl0000003529,result_1,indicator_XM-DAC-46008-cfl0000003529_result_1_1,2022-08-01,2022-08-01,56,,,
XM-DAC-46008-cfl0000003529,result_2,indicator_XM-DAC-46008-cfl0000003529_result_2_1,2022-08-01,2022-08-01,106,,,
XM-DAC-46008-cfl0000003483,result_1,indicator_XM-DAC-46008-cfl0000003483_result_1_1,2022-07-07,2022-07-07,436,,,
XM-DAC-46008-cfl0000003483,result_2,indicator_XM-DAC-46008-cfl0000003483_result_2_1,2022-07-07,2022-07-07,207,,,
XM-DAC-46008-cfa011699,result_1,indicator_XM-DAC-46008-cfa011699_result_1_1,2022-04-05,2022-04-05,1,,,
XM-DAC-46008-cfa011699,result_2,indicator_XM-DAC-46008-cfa011699_result_2_1,2022-04-05,2022-04-05,61,,,
XM-DAC-46008-cfa011699,result_3,indicator_XM-DAC-46008-cfa011699_result_3_1,2022-04-05,2022-04-05,15230000,,,
XM-DAC-46008-cfa011699,result_4,indicator_XM-DAC-46008-cfa011699_result_4_1,2022-04-05,2022-04-05,1940000,,,
XM-DAC-46008-cfa011545,result_1,indicator_XM-DAC-46008-cfa011545_result_1_1,2021-08-19,2021-08-19,54000,,,
XM-DAC-46008-cfa011545,result_2,indicator_XM-DAC-46008-cfa011545_result_2_1,2021-08-19,2021-08-19,1,,,
XM-DAC-46008-cfa011545,result_3,indicator_XM-DAC-46008-cfa011545_result_3_1,2021-08-19,2021-08-19,200,,,
XM-DAC-46008-cfa011545,result_4,indicator_XM-DAC-46008-cfa011545_result_4_1,2021-08-19,2021-08-19,69,,,
XM-DAC-46008-cfa011545,result_5,indicator_XM-DAC-46008-cfa011545_result_5_1,2021-08-19,2021-08-19,1350,,,
XM-DAC-46008-cfa011545,result_6,indicator_XM-DAC-46008-cfa011545_result_6_1,2021-08-19,2021-08-19,1,,,
XM-DAC-46008-cfa011297,result_1,indicator_XM-DAC-46008-cfa011297_result_1_1,2020-09-03,2020-09-03,310,,,
XM-DAC-46008-cfa011297,result_2,indicator_XM-DAC-46008-cfa011297_result_2_1,2020-09-03,2020-09-03,353522,,,
