activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-500218,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,,992787
XM-DAC-46007-500346,result_1,result_1_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2018,,23
XM-DAC-46007-500459,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2019,,164
XM-DAC-46007-501243,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2025,,0
XM-DAC-46007-501218,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2025,,109
XM-DAC-46007-500705,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2021,,0
XM-DAC-46007-500451,result_2,result_2_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2019,,0
XM-DAC-46007-302270,result_2,result_2_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2012,,0
XM-DAC-46007-500645,result_3,result_3_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2020,,0
XM-DAC-46007-501226,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2025,,197
XM-DAC-46007-501138,result_2,result_2_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2024,,19767
XM-DAC-46007-500192,result_1,result_1_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,,0
XM-DAC-46007-500346,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2018,,0
XM-DAC-46007-302441,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2014,,0
XM-DAC-46007-500459,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2019,,2659
XM-DAC-46007-501239,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2025,,0
XM-DAC-46007-500349,result_1,result_1_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2018,,73
XM-DAC-46007-500636,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2022,,0
XM-DAC-46007-500429,result_2,result_2_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2019,,0
XM-DAC-46007-500669,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2021,,0
XM-DAC-46007-500179,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,,14431
XM-DAC-46007-500316,result_1,result_1_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,,0
XM-DAC-46007-500189,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,,0
XM-DAC-46007-500901,result_3,result_3_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2022,,0
XM-DAC-46007-500179,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,,0
XM-DAC-46007-500248,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,,0
XM-DAC-46007-501128,result_2,result_2_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2024,,0
XM-DAC-46007-500276,result_2,result_2_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,,0
XM-DAC-46007-500218,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,,0
