activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-500507,result_5,result_5_15,1,1,,Viviendas,Viviendas,"Cantidad total de viviendas construidas, mejoradas y/o rehabilitadas dentro del proyecto.",2020,,0
XM-DAC-46007-500645,result_6,result_6_13,1,1,,Salud,"Número de centros de atención médica (hospitales, centros de salud, etc) a intervenir","Cantidad de establecimientos de salud (hospitales, clínicas, centros de salud, puestos médicos u otras instalaciones sanitarias) beneficiados con obras de construcción, ampliación, rehabilitación o mantenimiento en el marco del proyecto.",2020,,0
XM-DAC-46007-501217,result_1,result_1_7,1,1,,Agua y Sanemiento,Conexiones domiciliarias de alcantarillado sanitario,Cantidad de conexiones domiciliarias de alcantarillado  nuevas y rehabilitadas como parte del proyecto.,2025,,0
XM-DAC-46007-501243,result_2,result_2_1,1,1,,Víal,Longitud de carretera nueva,"Número de kilómetros de carretera construidos en el proyecto, que corresponde a la superficie preparada para el   tránsito de vehículos motorizados, de por lo  menos dos ejes, con  características geométricas definidas de acuerdo a las normas técnicas vigentes.",2025,,0
XM-DAC-46007-501226,result_1,result_1_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2025,,14
XM-DAC-46007-501149,result_1,result_1_8,1,1,,Educación,Aulas construidas y rehabilitadas,Cantidad de aulas construidas y rehabilitadas en el proyecto. ,2024,,0
XM-DAC-46007-500901,result_3,result_3_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2022,,0
XM-DAC-46007-500459,result_2,result_2_14,1,1,,Salud,"Inversión en salud (equipo, tecnología)","Monto de los recursos del proyecto  para la obtención de productos tecnológicos y equipos que aportan al desarrollo del sector salud, incluyendo equipo médico, equipo no médico (como muebles y equipos de oficina), entre otros.",2019,,0
XM-DAC-46007-501148,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2024,,0
XM-DAC-46007-501151,result_2,result_2_3,1,1,,Energía,Potencia,"Cantidad de energía producida por el proyecto o programa por unidad de tiempo; es decir, lo máximo que pueden desarrollar el proyecto en un momento dado en vatios de electricidad (El Mega Watts o Mega Vatio equivale a 1 millón de Vatios  = 1 millón de julio por segundo).",2024,,0
XM-DAC-46007-500422,result_2,result_2_2,1,1,,Víal,Longitud de carretera rehabilitada,Número de kilómetros rehabilitados en el proyecto. Este indicador solo se utiliza en la mejora de una carretera existente.,2019,,0
