activity_identifier,location_ref,location_reach,location_id_vocabulary,location_id_code,name,name_lang,description,description_lang,activity_description,activity_description_lang,latitude,longitude,exactness,location_class,feature_designation,administrative_vocabulary,administrative_level,administrative_code,administrative_country
XI-IATI-IADB-AR-L1353,,,G1,,"Argentina, AV. PASEO COLON 982, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.619140007821,",-58.368450029925,,,,G1,1,7,
XI-IATI-IADB-AR-L1353,,,G1,,"Argentina, SAN MART ?N 459, PISO 1, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.602630005499,",-58.373840012762,,,,G1,1,7,
XI-IATI-IADB-AR-L1353,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 5, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1243,,,G1,,"Argentina, ESMERALDA 255, PISO 8, CABA",,,,,es,"-34.605480020216,",-58.377929962416,,,,G1,1,7,
XI-IATI-IADB-AR-L1243,,,G1,,"Argentina, 25 DE MAYO 101, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.606320012643,",-58.370839961977,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,Chubut",,,,,es,"-43.7128356,",-68.7461817,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,Guaran ",,,,,es,"-27.5230159,",-55.1578261,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,Iguazú",,,,,es,"-27.6034457,",-55.3175431,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,Loreto",,,,,es,"-27.3331111,",-55.5224615,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,Los Lagos",,,,,es,"-27.72436225,",-64.24843982,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,Misiones",,,,,es,"-26.737224,",-54.4315257,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,Neuqu n",,,,,es,"-38.3695057,",-69.832275,,,,G1,1,7,
XI-IATI-IADB-AR-L1004,,,G1,,"Argentina,R o Negro",,,,,es,"-40.4811973,",-67.6145911,,,,G1,1,7,
