activity_identifier,type,iso_date,narrative,narrative_lang
XI-IATI-IADB-AR-L1033,2,2008-08-05,Actual start,
XI-IATI-IADB-AR-L1033,3,2015-11-06,Planned end,
XI-IATI-IADB-AR-L1033,1,2008-07-23,Planned start,
XI-IATI-IADB-AR-L1033,4,2016-04-23,Actual end,
XI-IATI-IADB-AR-L1025,2,2008-06-12,Actual start,
XI-IATI-IADB-AR-L1025,3,2017-02-06,Planned end,
XI-IATI-IADB-AR-L1025,1,2008-05-12,Planned start,
XI-IATI-IADB-AR-L1025,4,2017-05-18,Actual end,
XI-IATI-IADB-AR-L1038,2,2008-06-25,Actual start,
XI-IATI-IADB-AR-L1038,3,2013-04-16,Planned end,
XI-IATI-IADB-AR-L1038,1,2008-06-11,Planned start,
XI-IATI-IADB-AR-L1038,4,2012-12-19,Actual end,
XI-IATI-IADB-AR-L1298,2,2018-12-11,Actual start,
XI-IATI-IADB-AR-L1298,3,2019-11-26,Planned end,
XI-IATI-IADB-AR-L1298,1,2018-12-09,Planned start,
XI-IATI-IADB-AR-L1298,4,2018-12-13,Actual end,
XI-IATI-IADB-AR-L1303,2,2019-06-14,Actual start,
XI-IATI-IADB-AR-L1303,3,2020-06-12,Planned end,
XI-IATI-IADB-AR-L1303,1,2019-06-13,Planned start,
XI-IATI-IADB-AR-L1303,4,2019-06-18,Actual end,
XI-IATI-IADB-AR-L1415,2,2025-05-12,Actual start,
XI-IATI-IADB-AR-L1415,3,2026-05-08,Planned end,
XI-IATI-IADB-AR-L1415,1,2025-05-10,Planned start,
XI-IATI-IADB-AR-L1415,4,2025-05-13,Actual end,
XI-IATI-IADB-AR-L1281,3,2023-08-21,Planned end,
XI-IATI-IADB-AR-L1281,4,2020-10-20,Actual end,
XI-IATI-IADB-AR-L1355,2,2023-04-17,Actual start,
XI-IATI-IADB-AR-L1355,3,2027-01-11,Planned end,
XI-IATI-IADB-AR-L1355,1,2023-03-28,Planned start,
XI-IATI-IADB-AR-L1356,2,2023-08-03,Actual start,
XI-IATI-IADB-AR-L1356,3,2028-03-27,Planned end,
XI-IATI-IADB-AR-L1356,1,2023-07-26,Planned start,
XI-IATI-IADB-AR-L1335,3,2028-10-20,Planned end,
XI-IATI-IADB-AR-L1409,2,2024-12-16,Actual start,
XI-IATI-IADB-AR-L1409,3,2029-11-25,Planned end,
XI-IATI-IADB-AR-L1409,1,2024-12-06,Planned start,
XI-IATI-IADB-AR-L1406,2,2025-05-22,Actual start,
XI-IATI-IADB-AR-L1406,3,2028-12-02,Planned end,
XI-IATI-IADB-AR-L1406,1,2025-04-15,Planned start,
XI-IATI-IADB-AR-L1282,3,2023-09-28,Planned end,
XI-IATI-IADB-AR-L1282,4,2020-10-20,Actual end,
XI-IATI-IADB-AR-L1310,2,2019-12-20,Actual start,
XI-IATI-IADB-AR-L1310,3,2025-11-28,Planned end,
XI-IATI-IADB-AR-L1310,1,2019-12-18,Planned start,
XI-IATI-IADB-AR-L1245,2,2016-12-14,Actual start,
XI-IATI-IADB-AR-L1245,3,2017-10-25,Planned end,
XI-IATI-IADB-AR-L1245,1,2016-12-05,Planned start,
XI-IATI-IADB-AR-L1245,4,2017-10-05,Actual end,
XI-IATI-IADB-AR-L1181,2,2016-01-15,Actual start,
XI-IATI-IADB-AR-L1181,3,2022-10-30,Planned end,
XI-IATI-IADB-AR-L1181,1,2015-12-17,Planned start,
XI-IATI-IADB-AR-L1181,4,2021-11-09,Actual end,
XI-IATI-IADB-AR-L1404,2,2024-11-26,Actual start,
XI-IATI-IADB-AR-L1404,3,2025-11-21,Planned end,
XI-IATI-IADB-AR-L1404,1,2024-11-26,Planned start,
XI-IATI-IADB-AR-L1404,4,2024-11-27,Actual end,
XI-IATI-IADB-AR-L1337,2,2022-06-16,Actual start,
XI-IATI-IADB-AR-L1337,3,2026-11-05,Planned end,
XI-IATI-IADB-AR-L1337,1,2022-05-05,Planned start,
XI-IATI-IADB-AR-L1101,2,2012-06-14,Actual start,
XI-IATI-IADB-AR-L1101,3,2019-12-29,Planned end,
XI-IATI-IADB-AR-L1101,1,2012-06-01,Planned start,
XI-IATI-IADB-AR-L1101,4,2020-08-27,Actual end,
XI-IATI-IADB-AR-L1413,2,2025-07-28,Actual start,
XI-IATI-IADB-AR-L1413,3,2026-07-23,Planned end,
XI-IATI-IADB-AR-L1413,1,2025-07-25,Planned start,
XI-IATI-IADB-AR-L1413,4,2025-07-29,Actual end,
XI-IATI-IADB-AR-L1007,2,2009-03-31,Actual start,
XI-IATI-IADB-AR-L1007,3,2016-04-07,Planned end,
XI-IATI-IADB-AR-L1007,1,2007-07-10,Planned start,
XI-IATI-IADB-AR-L1007,4,2016-09-27,Actual end,
XI-IATI-IADB-AR-L1021,2,2007-10-10,Actual start,
XI-IATI-IADB-AR-L1021,3,2014-11-06,Planned end,
XI-IATI-IADB-AR-L1021,1,2007-06-14,Planned start,
XI-IATI-IADB-AR-L1021,4,2013-09-28,Actual end,
XI-IATI-IADB-AR-L1080,2,2010-05-10,Actual start,
XI-IATI-IADB-AR-L1080,3,2016-07-31,Planned end,
XI-IATI-IADB-AR-L1080,1,2010-05-05,Planned start,
XI-IATI-IADB-AR-L1080,4,2016-07-07,Actual end,
XI-IATI-IADB-AR-L1131,2,2013-07-18,Actual start,
XI-IATI-IADB-AR-L1131,3,2021-07-31,Planned end,
XI-IATI-IADB-AR-L1131,1,2013-03-08,Planned start,
XI-IATI-IADB-AR-L1131,4,2020-07-23,Actual end,
XI-IATI-IADB-AR-L1006,2,2006-07-03,Actual start,
XI-IATI-IADB-AR-L1006,3,2010-01-01,Planned end,
XI-IATI-IADB-AR-L1006,1,2006-06-29,Planned start,
XI-IATI-IADB-AR-L1006,4,2009-08-19,Actual end,
XI-IATI-IADB-AR-L1386,2,2024-12-16,Actual start,
XI-IATI-IADB-AR-L1386,3,2030-08-02,Planned end,
XI-IATI-IADB-AR-L1386,1,2024-11-19,Planned start,
XI-IATI-IADB-AR-L1014,2,2007-08-27,Actual start,
XI-IATI-IADB-AR-L1014,3,2018-06-29,Planned end,
XI-IATI-IADB-AR-L1014,1,2007-08-08,Planned start,
XI-IATI-IADB-AR-L1014,4,2018-12-13,Actual end,
XI-IATI-IADB-AR-L1149,2,2014-12-02,Actual start,
XI-IATI-IADB-AR-L1149,3,2022-02-28,Planned end,
XI-IATI-IADB-AR-L1149,1,2014-11-19,Planned start,
XI-IATI-IADB-AR-L1149,4,2022-07-04,Actual end,
XI-IATI-IADB-AR-L1151,2,2016-04-01,Actual start,
XI-IATI-IADB-AR-L1151,3,2025-12-09,Planned end,
XI-IATI-IADB-AR-L1151,1,2015-09-09,Planned start,
XI-IATI-IADB-AR-L1151,4,2023-09-29,Actual end,
XI-IATI-IADB-AR-L1071,2,2013-11-07,Actual start,
XI-IATI-IADB-AR-L1071,3,2023-07-30,Planned end,
XI-IATI-IADB-AR-L1071,1,2013-04-29,Planned start,
XI-IATI-IADB-AR-L1071,4,2021-09-02,Actual end,
XI-IATI-IADB-AR-L1030,2,2008-12-19,Actual start,
XI-IATI-IADB-AR-L1030,3,2014-10-31,Planned end,
XI-IATI-IADB-AR-L1030,1,2008-12-12,Planned start,
