activity_identifier,url,format,title,description,category_code,language_code,document_date
XM-DAC-928-AR-2024-25-02.003.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-02.003.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/02.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-02.003.AM01.ARG03,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-02.003.AM01.ARG03,http://open.who.int/2024-25/country-programme/ARG/02.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,http://open.who.int/2024-25/country-programme/ARG/03.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-03.001.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-03.001.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/03.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,http://open.who.int/2024-25/country-programme/ARG/03.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/03.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-03.003.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-03.003.AM01.ARG01,http://open.who.int/2024-25/country-programme/ARG/03.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-03.003.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-03.003.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/03.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.001.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.001.AM01.ARG01,http://open.who.int/2024-25/country-programme/ARG/04.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.001.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.001.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/04.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.001.AM01.ARG03,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.001.AM01.ARG03,http://open.who.int/2024-25/country-programme/ARG/04.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG01,http://open.who.int/2024-25/country-programme/ARG/04.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/04.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG03,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG03,http://open.who.int/2024-25/country-programme/ARG/04.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG04,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG04,http://open.who.int/2024-25/country-programme/ARG/04.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG05,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG05,http://open.who.int/2024-25/country-programme/ARG/04.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG06,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.002.AM01.ARG06,http://open.who.int/2024-25/country-programme/ARG/04.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG01,http://open.who.int/2024-25/country-programme/ARG/04.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/04.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG03,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG03,http://open.who.int/2024-25/country-programme/ARG/04.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG04,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-04.003.AM01.ARG04,http://open.who.int/2024-25/country-programme/ARG/04.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2024-25-13.002.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2024-25-13.002.AM01.ARG02,http://open.who.int/2024-25/country-programme/ARG/13.002,text/html,Budget,,A05,en,
