activity_identifier,type,iso_date,narrative,narrative_lang
XM-DAC-928-AR-2018-19-02.002.AM01.ARG03,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.002.AM01.ARG03,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.004.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.004.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.004.AM01.ARG01,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-02.004.AM01.ARG01,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG04,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG04,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG04,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG04,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG05,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG05,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG05,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG05,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG01,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG01,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG01,2,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG01,4,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG03,1,2018-01-01,1/1/2018 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG03,3,2019-12-31,12/31/2019 12:00:00 AM,en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG03,2,2018-01-01,1/1/2018 12:00:00 AM,en
